Date,Production_MWh,Peak_Demand_MW,hour,price,actual_discharge
,الكهرباء,الكهرباء,0,25.0,الكهرباء
,الكهرباء,ذروة الطلب ، الكهرباء ، الشبكة الرئيسة المرتبطة ، شبكة نظام ظفار,1,25.0,الكهرباء
,الكهرباء,يتضمن الجدول اعلى طلب للكهرباء في ساعة من الزمن لكل شهر,2,25.0,الكهرباء
,الكهرباء,سلطنة عمان,3,25.0,الكهرباء
,الكهرباء,هيئة تنظيم الخدمات العامة - دائرة علم البيانات ,4,25.0,الكهرباء
,الكهرباء,2023-2024,5,25.0,الكهرباء
,الكهرباء,سنوي,6,25.0,الكهرباء
,الكهرباء,Excel ,7,25.0,الكهرباء
,الكهرباء,العربية,8,25.0,الكهرباء
,الكهرباء,"ميثاء اليحيائي  / 93234826
mithaa.alyahyaee@apsr.om",9,25.0,الكهرباء
,الكهرباء,10 سبتمبر 2025,10,25.0,الكهرباء
,الكهرباء,10 سبتمبر 2025,11,25.0,الكهرباء
,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح,الكهرباء,12,25.0,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح
,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح,ذروة الطلب ، الكهرباء ، الشبكة الرئيسة المرتبطة ، شبكة نظام ظفار,13,25.0,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح
,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح,يتضمن الجدول اعلى طلب للكهرباء في ساعة من الزمن لكل شهر,14,25.0,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح
,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح,سلطنة عمان,15,25.0,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح
,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح,هيئة تنظيم الخدمات العامة - دائرة علم البيانات ,16,25.0,انتاج كهرباء ، MWh ، غاز ، ديزل ، طاقة شمسية ، طاقة رياح
